x,y,z,upper_red_c_x,upper_red_c_y,side_red_c_x,side_red_c_y
0,0,230,609.0,464.0,590,409
100,0,230,457.0,462.0,562,436
200,0,230,315.0,462.0,525,473
300,0,230,176.0,459.0,,
400,0,230,176.0,460.0,,
0,100,230,605.0,319.0,585,303
100,100,230,,,558,318
100,100,230,,,557,317
100,100,230,458.0,324.0,558,318
200,100,230,304.0,316.0,516,325
300,100,230,162.0,323.0,460,355
400,100,230,28.0,319.0,374,379
0,200,230,597.0,177.0,581,200
100,200,230,458.0,178.0,555,195
200,200,230,304.0,177.0,514,184
300,200,230,160.0,175.0,457,166
400,200,230,20.0,177.0,367,147
0,300,230,608.0,17.0,580,89
100,300,230,459.0,24.0,552,70
200,300,230,295.0,35.0,509,41
300,300,230,,,455,5
300,300,230,159.0,38.0,455,4
400,300,230,12.0,41.0,,
0,0,130,558.0,418.0,489,395
100,0,130,436.0,418.0,449,418
200,0,130,318.0,419.0,398,451
300,0,130,202.0,418.0,331,478
400,0,130,80.0,423.0,,
0,100,130,,,485,300
0,100,130,556.0,301.0,485,299
100,100,130,434.0,303.0,445,311
200,100,130,311.0,300.0,391,320
300,100,130,191.0,304.0,316,343
400,100,130,77.0,305.0,205,366
0,200,130,549.0,181.0,480,204
100,200,130,429.0,181.0,441,199
200,200,130,307.0,182.0,386,191
300,200,130,190.0,182.0,312,180
400,200,130,73.0,185.0,201,169
0,300,130,553.0,51.0,479,103
100,300,130,431.0,58.0,440,86
200,300,130,303.0,64.0,384,65
300,300,130,188.0,63.0,312,29
400,300,130,66.0,68.0,196,1
0,0,30,519.0,384.0,400,383
100,0,30,,,354,404
100,0,30,417.0,386.0,353,404
200,0,30,316.0,387.0,292,431
300,0,30,216.0,387.0,207,466
400,0,30,117.0,389.0,,
0,100,30,519.0,282.0,397,293
100,100,30,416.0,285.0,351,302
200,100,30,315.0,286.0,290,312
300,100,30,215.0,288.0,206,328
400,100,30,116.0,291.0,88,353
0,200,30,,,395,207
0,200,30,516.0,183.0,395,207
100,200,30,412.0,185.0,347,203
200,200,30,311.0,186.0,287,199
300,200,30,212.0,188.0,204,192
400,200,30,112.0,191.0,84,187
0,300,30,516.0,77.0,394,117
100,300,30,412.0,81.0,347,103
200,300,30,309.0,86.0,284,86
300,300,30,,,199,57
300,300,30,207.0,86.0,200,57
400,300,30,105.0,89.0,80,20
